player,team,category,run_rate,bowling_avg
De Kock,KKR,openers,124.59016393442623,0.0
Rahane,KKR,openers,143.91143911439116,0.0
Narine,KKR,top_order,154.7169811320755,7.688888888888888
Venkatesh Iyer,KKR,top_order,132.71028037383178,0.0
Angkrish Raghuvanshi,KKR,middle,138.24884792626727,0.0
Rinku Singh,KKR,middle,148.20143884892084,0.0
Russell,KKR,middle,153.21100917431193,11.669724770642203
Ramandeep Singh,KKR,middle,130.55555555555557,0.0
Harshit Rana,KKR,tail,105.55555555555556,9.90909090909091
Spencer Johnson,KKR,tail,50.0,11.294117647058822
Phil Salt,RCB,openers,169.32773109243698,0.0
Kohli,RCB,openers,140.9871244635193,0.0
Padikkal,RCB,top_order,142.77456647398844,0.0
Rajat Patidar,RCB,top_order,138.66666666666669,0.0
Livingstone,RCB,middle,124.7191011235955,8.444444444444445
Abhishek Sharma,SRH,openers,181.40495867768595,10.090909090909092
Head,SRH,openers,151.417004048583,0.0
Ishan Kishan,SRH,top_order,144.48979591836735,24.0
Nitish Reddy,SRH,top_order,113.75,8.6
Klaasen,SRH,middle,166.21160409556316,0.0
Aniket Verma,SRH,middle,159.45945945945945,0.0
Abhinav Manohar,SRH,middle,98.38709677419355,0.0
Cummins,SRH,middle,167.24137931034483,8.778523489932887
Jaiswal,RR,openers,156.14525139664806,0.0
Samson,RR,openers,139.02439024390242,0.0
Riyan Parag,RR,top_order,160.40816326530611,8.049999999999999
Nitish Rana,RR,top_order,153.90070921985816,9.0
Dhruv Jurel,RR,middle,152.05479452054794,0.0
Shubham Dubey,RR,middle,160.6060606060606,0.0
Hetmyer,RR,middle,135.35911602209944,0.0
Jofra Archer,RR,middle,123.52941176470588,8.967032967032967
Rohit,MI,openers,144.13793103448276,0.0
Will Jacks,MI,openers,134.68208092485548,7.928571428571429
Rickelton,MI,top_order,145.86466165413535,0.0
Suryakumar Yadav,MI,top_order,163.3257403189066,0.0
Tilak Varma,MI,middle,132.43243243243242,0.0
Robin Minz,MI,middle,37.5,0.0
Naman Dhir,MI,middle,178.72340425531914,5.25
Santner,MI,middle,117.64705882352942,7.6455696202531644
Chahar,MI,tail,148.0,8.634146341463413
Boult,MI,tail,50.0,8.705202312138729
Satyanarayana Raju,MI,tail,100.0,12.0
Ravindra,CSK,openers,125.6578947368421,0.0
Tripathi,CSK,openers,96.49122807017544,0.0
Gaikwad,CSK,top_order,148.78048780487805,0.0
Shivam Dube,CSK,top_order,123.52941176470588,14.0
Hooda,CSK,middle,72.09302325581395,14.0
Sam Curran,CSK,middle,129.54545454545453,10.916666666666666
Jadeja,CSK,middle,131.4410480349345,8.431718061674008
Dhoni,CSK,middle,131.1688311688312,0.0
Markram,LSG,openers,145.4248366013072,9.09090909090909
Mitchell Marsh,LSG,openers,156.75,0.0
Pooran,LSG,top_order,181.94444444444443,0.0
Pant,LSG,top_order,129.3269230769231,0.0
Miller,LSG,middle,123.38709677419355,0.0
Ayush Badoni,LSG,middle,140.0,7.800000000000001
Thakur,LSG,middle,120.0,10.360975609756098
Shahbaz Ahmed,LSG,middle,112.5,11.411764705882351
Ravi Bishnoi,LSG,tail,81.25,10.54054054054054
Fraser-Mcgurk,DC,openers,103.77358490566037,0.0
Du Plessis,DC,openers,118.82352941176471,0.0
Abishek Porel,DC,top_order,144.01913875598086,0.0
Sameer Rizvi,DC,top_order,145.78313253012047,0.0
Axar,DC,middle,153.80116959064327,8.382352941176471
Stubbs,DC,middle,150.73891625615764,20.0
Ashutosh Sharma,DC,middle,150.0,0.0
Vipraj Nigam,DC,middle,173.17073170731706,8.846153846153847
Mitchell Starc,DC,tail,54.54545454545454,9.58371040723982
Kuldeep Yadav,DC,tail,112.5,6.980392156862745
Mohit Sharma,DC,tail,33.33333333333333,9.76
Priyansh Arya,PBKS,openers,172.72727272727272,0.0
Prabhsimran,PBKS,openers,157.75862068965517,0.0
Shreyas Iyer,PBKS,top_order,168.24512534818942,0.0
Azmatullah,PBKS,top_order,132.5581395348837,10.0
Maxwell,PBKS,middle,92.3076923076923,8.153846153846153
Stoinis,PBKS,middle,175.82417582417582,11.929411764705883
Shashank Singh,PBKS,middle,147.67932489451476,13.5
Sai Sudharsan,GT,openers,149.11591355599214,0.0
Shubman Gill,GT,openers,150.46296296296296,0.0
Buttler,GT,top_order,159.64391691394658,0.0
Rutherford,GT,top_order,144.77611940298507,0.0
Rahul Tewatia,GT,middle,157.14285714285714,0.0
Arshad Khan,GT,middle,100.0,9.857142857142858
Shahrukh Khan,GT,middle,172.1153846153846,13.0
Hasaranga,RR,middle,60.0,8.926829268292682
Theekshana,RR,tail,37.03703703703704,9.142857142857142
Tushar Deshpande,RR,tail,77.77777777777779,10.0
Moeen Ali,KKR,openers,31.25,8.3125
Harshal Patel,SRH,middle,77.77777777777779,9.193916349809886
Shami,SRH,tail,90.9090909090909,10.866666666666667
Simarjeet Singh,SRH,tail,42.857142857142854,13.799999999999999
Abdul Samad,LSG,middle,167.3469387755102,18.0
Jitesh Sharma,RCB,middle,168.38709677419354,0.0
Tim David,RCB,middle,176.41509433962264,0.0
Krunal Pandya,RCB,middle,122.47191011235957,8.043478260869565
Bhuvneshwar,RCB,tail,53.84615384615385,9.173076923076923
Ashwin,CSK,middle,110.00000000000001,9.032258064516128
Noor Ahmad,CSK,tail,41.17647058823529,7.72
Rabada,GT,middle,100.0,11.285714285714285
Rashid Khan,GT,middle,125.0,9.236363636363636
Sai Kishore,GT,middle,50.0,9.08235294117647
Hardik Pandya,MI,middle,153.42465753424656,9.22857142857143
Mulder,SRH,tail,75.0,16.0
Rahul,DC,top_order,147.96747967479675,0.0
Kartikeya,RR,tail,60.0,9.5
Shankar,CSK,middle,124.21052631578948,0.0
Jamie Overton,CSK,middle,214.28571428571428,13.0
Manish Pandey,KKR,middle,137.3134328358209,0.0
Avesh Khan,LSG,tail,150.0,10.077464788732396
Nehal Wadhera,PBKS,top_order,141.3793103448276,10.8
Livingstone 1 Run,RCB,middle,100.0,0.0
Kamindu Mendis,SRH,top_order,127.3972602739726,8.571428571428571
Akash Deep,LSG,tail,300.0,11.157894736842106
Conway,CSK,openers,124.8,0.0
Suryansh Shedge,PBKS,middle,58.333333333333336,13.0
Marco Jansen,PBKS,tail,115.38461538461537,8.840989399293287
Arshdeep Singh,PBKS,tail,33.33333333333333,8.502857142857142
Ferguson,PBKS,tail,400.0,8.608695652173912
Washington Sundar,GT,top_order,156.47058823529412,10.061538461538461
Bumrah,MI,tail,0.0,6.570422535211268
Sandeep Sharma,RR,tail,100.0,9.342465753424658
Anshul Kamboj,CSK,tail,107.6923076923077,7.953488372093023
Karun Nair,DC,openers,163.63636363636365,0.0
Shaik Rasheed,CSK,openers,105.97014925373134,0.0
Josh Inglis,PBKS,top_order,157.06214689265536,0.0
Bartlett,PBKS,tail,73.33333333333333,9.600000000000001
Vaibhav Arora,KKR,tail,0.0,9.71764705882353
Hetmyer,DC,middle,135.35911602209944,0.0
Parag,DC,openers,200.0,0.0
Rahul,RR,top_order,147.96747967479675,0.0
Stubbs,RR,middle,150.73891625615764,20.0
Bhandage,RCB,middle,25.0,0.0
Yash Dayal,RCB,tail,50.0,9.285714285714286
Hazlewood,RCB,tail,0.0,8.636363636363637
Ferreira,DC,middle,33.33333333333333,0.0
Vaibhav Suryavanshi,RR,openers,198.42519685039372,0.0
Ayush Mhatre,CSK,top_order,183.206106870229,0.0
Gurbaz,KKR,openers,134.54545454545453,0.0
Fazalhaq Farooqi,RR,tail,100.0,12.235294117647058
Brevis,CSK,middle,175.78125,0.0
Khaleel Ahmed,CSK,tail,50.0,9.364285714285714
Corbin Bosch,MI,middle,146.875,7.428571428571429
Prince Yadav,LSG,tail,45.45454545454545,9.547445255474454
Digvesh Rathi,LSG,tail,25.0,8.0
Chameera,DC,tail,71.42857142857143,10.866666666666667
Jacob Bethell,RCB,openers,171.7948717948718,0.0
Powell,KKR,middle,83.33333333333334,0.0
Anukul Roy,KKR,tail,0.0,6.5
Varun Chakaravarthy,KKR,tail,100.0,7.5
Akash Madhwal,RR,tail,44.44444444444444,10.333333333333334
Shepherd,RCB,middle,280.0,10.357142857142858
Ks Rathore,RR,top_order,0.0,0.0
Karn Sharma,MI,tail,100.0,8.466666666666667
Gerald Coetzee,GT,middle,154.54545454545453,10.583333333333332
Urvil Patel,CSK,openers,200.0,0.0
Mitchell Owen,PBKS,top_order,0.0,0.0
Kwena Maphaka,RR,tail,266.66666666666663,10.4
Atharva Taide,SRH,openers,118.18181818181819,0.0
Madhav Tiwari,DC,middle,75.0,0.0
Mustafizur,DC,tail,0.0,7.909090909090908
Mayank Agarawal,RCB,top_order,146.15384615384613,0.0
Ngidi,RCB,tail,0.0,10.125
Harpreet Brar,PBKS,tail,84.61538461538461,8.545454545454547
Sediqullah Atal,DC,top_order,137.5,0.0
Siraj,GT,tail,60.0,8.719298245614034
Breetzke,LSG,openers,116.66666666666667,0.0
Musheer Khan,PBKS,middle,0.0,13.5
Jamieson,PBKS,tail,0.0,9.533333333333333
Bairstow,MI,openers,173.46938775510205,0.0
Kusal Mendis,GT,top_order,181.8181818181818,0.0
Raj Bawa,MI,middle,200.0,0.0
Rasikh Salam,RCB,,0.0,11.333333333333332
Suyash Sharma,RCB,,0.0,8.66
Zampa,SRH,,0.0,11.5
Nathan Ellis,CSK,,0.0,9.25
Vignesh Puthur,MI,,0.0,9.0
Mukesh Kumar,DC,,0.0,9.873417721518988
M Siddharth,LSG,,0.0,9.285714285714286
Prasidh,GT,,0.0,8.084745762711865
Chahal,PBKS,,0.0,9.31111111111111
Vijaykumar Vyshak,PBKS,,0.0,9.764705882352942
Pathirana,CSK,,0.0,9.250996015936256
Mujeeb,MI,,0.0,11.5
Ishant,GT,,0.0,10.8
Zeeshan Ansari,SRH,,0.0,9.665024630541872
Ashwani Kumar,MI,,0.0,10.878048780487806
Mukesh Choudhary,CSK,,0.0,11.833333333333334
Yudhvir Singh,RR,,0.0,11.454545454545455
Unadkat,SRH,,0.0,7.216783216783217
Yash Thakur,PBKS,,0.0,11.538461538461538
Khejroliya,GT,,0.0,9.333333333333334
Eshan Malinga,SRH,,0.0,8.7375
Nortje,KKR,,0.0,10.857142857142858
Mitchell Starc,RR,tail,54.54545454545454,9.58371040723982
Sandeep,DC,,0.0,19.5
Rahul Chahar,SRH,,0.0,9.0
Sakariya,KKR,,0.0,12.666666666666668
Mayank Yadav,LSG,,0.0,11.875
Karim Janat,GT,,0.0,30.0
Akash Maharaj Singh,LSG,,0.0,8.865671641791046
T Natarajan,DC,,0.0,16.333333333333336
Harsh Dubey,SRH,,0.0,9.7
William Orourke,LSG,,0.0,12.483870967741936
Praveen Dubey,PBKS,,0.0,10.0
N Thushara,RCB,,0.0,6.0
Richard Gleeson,MI,,0.0,10.857142857142858
Topley,MI,,0.0,13.333333333333334
